Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
interact in a certain way,treat.v.01,"treat snobbishly, put in one's place",upstage.v.01,Hyponyms
interact in a certain way,treat.v.01,treat unjustly; do wrong to,wrong.v.01,Hyponyms
"discharge in, or as if in, a volley",volley.v.03,pour forth or release,discharge.v.02,Hypernyms
a colorless crystalline organic base containing nitrogen; the parent compound of various biologically important substances,purine.n.02,any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water,base.n.10,Hypernyms
type genus of the Lobotidae,lobotes.n.01,any of various genus of fish,fish_genus.n.01,Hypernyms
singing with florid ornamentation,coloratura.n.02,the act of singing vocal music,singing.n.01,Hypernyms
a metal band used to attach a reed to the mouthpiece of a clarinet or saxophone,ligature.n.03,a restraint put around something to hold it together,band.n.13,Hypernyms
a thin membrane in synovial (freely moving) joints that lines the joint capsule and secretes synovial fluid,synovial_membrane.n.01,a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants,membrane.n.02,Hypernyms
make into a puddle,muddle.v.01,make turbid by stirring up the sediments of,roil.v.02,Hypernyms
hickory of the eastern United States resembling the shagbark but having a much larger nut,big_shellbark.n.01,American hardwood tree bearing edible nuts,hickory.n.02,Hypernyms
a thin uniform layer of hazy cloud at high altitude,cirrostratus.n.01,a visible mass of water or ice particles suspended at a considerable altitude,cloud.n.02,Hypernyms
(law) recklessly acting without reasonable caution and putting another person at risk of injury or death (or failing to do something with the same consequences),criminal_negligence.n.01,failure to act with the prudence that a reasonable person would exercise under the same circumstances,negligence.n.01,Hypernyms
a bin or granary for storing grains,crib.n.03,a container; usually has a lid,bin.n.01,Hypernyms
a bin or granary for storing grains,crib.n.03,a storehouse for threshed grain or animal feed,granary.n.01,Hypernyms
a bin or granary for storing grains,crib.n.03,a crib for storing and drying ears of corn,corncrib.n.01,Hyponyms
the role of an innocent artless young woman in a play,ingenue.n.03,an actor's portrayal of someone in a play,character.n.04,Hypernyms
an artery that originates from the maxillary artery and supplies structures below the orbit (from lower eyelid to upper lip),infraorbital_artery.n.01,a blood vessel that carries blood from the heart to the body,artery.n.01,Hypernyms
make a solicitation or petition for something desired,solicit.v.05,make a request or demand for something to somebody,ask.v.02,Hypernyms
the disclosure of something secret,exposure.n.03,the speech act of making something evident,disclosure.n.01,Hypernyms
the disclosure of something secret,exposure.n.03,the exposure of an impostor or a fraud,expose.n.01,Hyponyms
the disclosure of something secret,exposure.n.03,the exposure of scandal (especially about public figures),muckraking.n.01,Hyponyms
an indefinite time in the future,by-and-by.n.01,the time yet to come,future.n.01,Hypernyms
a line indicating the location of the start of a race or a game,start.n.06,in games or sports; a mark indicating positions or bounds of the playing area,line.n.20,Hypernyms
herbaceous terrestrial orchids of temperate northern and southern hemispheres,platanthera.n.01,genus of flowering plants having a single cotyledon (embryonic leaf) in the seed,monocot_genus.n.01,Hypernyms
the process of bubbling as gas escapes,effervescence.n.01,a process existing in or produced by nature (rather than by the intent of human beings),natural_process.n.01,Hypernyms
veins serving the anterior walls of the abdomen,epigastric_vein.n.01,a blood vessel that carries blood from the capillaries toward the heart,vein.n.01,Hypernyms
veins serving the anterior walls of the abdomen,epigastric_vein.n.01,empties into the external iliac vein,inferior_epigastric_vein.n.01,Hyponyms
veins serving the anterior walls of the abdomen,epigastric_vein.n.01,empties into the great saphenous vein,superficial_epigastric_vein.n.01,Hyponyms
veins serving the anterior walls of the abdomen,epigastric_vein.n.01,veins that accompany the superior epigastric artery,superior_epigastric_veins.n.01,Hyponyms
a large bushy moustache (with hair growing sometimes down the sides of the mouth),mustachio.n.01,an unshaved growth of hair on the upper lip,mustache.n.01,Hypernyms
sort or variety,description.n.03,a category of things distinguished by some common characteristic or quality,kind.n.01,Hypernyms
the distance or area or volume over which something extends,extent.n.02,the property of relative size or extent (whether large or small),magnitude.n.01,Hypernyms
the distance or area or volume over which something extends,extent.n.02,the extent of a 2-dimensional surface enclosed within a boundary,area.n.06,Hyponyms
the distance or area or volume over which something extends,extent.n.02,the extent to which something is covered,coverage.n.02,Hyponyms
the distance or area or volume over which something extends,extent.n.02,the extent downward or backward or inward,depth.n.01,Hyponyms
the distance or area or volume over which something extends,extent.n.02,the extent of land abutting on a street or water,frontage.n.01,Hyponyms
the distance or area or volume over which something extends,extent.n.02,the property of being the extent of something from beginning to end,length.n.03,Hyponyms
the distance or area or volume over which something extends,extent.n.02,the greatest possible degree of something,limit.n.01,Hyponyms
the distance or area or volume over which something extends,extent.n.02,an area in which something acts or operates or has power or control:,scope.n.01,Hyponyms
an English recruit (who wore a uniform that was black and tan) serving in the Irish constabulary to suppress the Sinn Fein rebellion of 1919 to 1921,black_and_tan.n.01,a recently enlisted soldier,recruit.n.01,Hypernyms
power by which something or someone is affected or dominated,hold.n.03,power to direct or determine,control.n.01,Hypernyms
an inner circle of writers and artists and philosophers who lived in or around Bloomsbury early in the 20th century and were noted for their unconventional lifestyles,bloomsbury_group.n.01,an exclusive circle of people with a common purpose,clique.n.01,Hypernyms
a galvanometer that is operated by the force exerted by an electric current flowing in a movable coil suspended in a magnetic field,moving-coil_galvanometer.n.01,meter for detecting or comparing or measuring small electric currents,galvanometer.n.01,Hypernyms
a galvanometer that is operated by the force exerted by an electric current flowing in a movable coil suspended in a magnetic field,moving-coil_galvanometer.n.01,a moving-coil galvanometer that measures electric charge,ballistic_galvanometer.n.01,Hyponyms
a crystalline compound found in vanilla beans and some balsam resins; used in perfumes and flavorings,vanillin.n.01,(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight,compound.n.02,Hypernyms
a depression in an otherwise level surface,dip.n.01,a concavity in a surface produced by pressing,depression.n.08,Hypernyms
prokaryotic bacteria and blue-green algae and various primitive pathogens; because of lack of consensus on how to divide the organisms into phyla informal names are used for the major divisions,monera.n.01,the highest taxonomic group into which organisms are grouped; one of five biological categories: Monera or Protoctista or Plantae or Fungi or Animalia,kingdom.n.05,Hypernyms
a large genus constituting the order Sphagnales: atypical mosses of temperate bogs with leaves that can hold much water,genus_sphagnum.n.01,a genus of mosses,moss_genus.n.01,Hypernyms
ride a horse such that it springs and bounds forward,prance.v.04,ride on horseback,ride_horseback.v.01,Hypernyms
"go or come back to place, condition, or activity where one has been before",return.v.01,"change location; move, travel, or proceed, also metaphorically",travel.v.01,Hypernyms
"go or come back to place, condition, or activity where one has been before",return.v.01,retrace one's course,backtrack.v.01,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,return to the initial position from where it came; like a boomerang,boomerang.v.01,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,come back after being refused,bounce.v.04,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,return in time,cut_back.v.01,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,return home,go_home.v.01,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,return home accurately from a long distance,home.v.02,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,return from the dead,resurrect.v.03,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,return to a previous position; in mathematics,return.v.14,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,visit again,revisit.v.01,Hyponyms
"go or come back to place, condition, or activity where one has been before",return.v.01,to go back over again,trace.v.03,Hyponyms
a dark red resinous substance derived from various trees and used in photoengraving,dragon's_blood.n.01,any of various substances (soluble in water) that exude from certain plants; they are gelatinous when moist but harden on drying,gum.n.03,Hypernyms
American nocturnal goatsucker with grey-and-white plumage,whippoorwill.n.01,mainly crepuscular or nocturnal nonpasserine birds with mottled greyish-brown plumage and large eyes; feed on insects,goatsucker.n.01,Hypernyms
the principles and practices of Pentecostal religious groups; characterized by religious excitement and talking in tongues,pentecostalism.n.01,the theological system of any of the churches of western Christendom that separated from the Roman Catholic Church during the Reformation,protestantism.n.01,Hypernyms
an unwieldy largeness,bulkiness.n.01,the property of having a relatively great size,largeness.n.03,Hypernyms
genus of Australian evergreen shrubs poisonous to livestock: poison bush,genus_gastrolobium.n.01,a genus of dicotyledonous plants,rosid_dicot_genus.n.01,Hypernyms
one of the largest and most famous duck-billed dinosaurs,anatotitan.n.01,any of numerous large bipedal ornithischian dinosaurs having a horny duck-like bill and webbed feet; may have been partly aquatic,hadrosaur.n.01,Hypernyms
a blank leaf inserted between the leaves of a book,interleaf.n.01,a sheet of any written or printed material (especially in a manuscript or book),leaf.n.02,Hypernyms
common European perennial having showy yellow and orange flowers; a naturalized weed in North America,toadflax.n.01,a plant cultivated for its blooms or blossoms,flower.n.01,Hypernyms
common European perennial having showy yellow and orange flowers; a naturalized weed in North America,toadflax.n.01,North American plant having racemes of blue-violet flowers,blue_toadflax.n.01,Hyponyms
credibility among young fashionable urban individuals,street_credibility.n.01,the quality of being believable or trustworthy,credibility.n.01,Hypernyms
a worker who makes or applies stems for artificial flowers,stemmer.n.02,a person who works at a specific occupation,worker.n.01,Hypernyms
a portable television camera and videocassette recorder,camcorder.n.01,television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam,television_camera.n.01,Hypernyms
fine-grained rock consisting of compacted clay particles,claystone.n.01,material consisting of the aggregate of minerals like those making up the Earth's crust,rock.n.02,Hypernyms
surgical incision or division of a muscle,myotomy.n.01,a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body,operation.n.06,Hypernyms
persuasive but insincere talk that is usually intended to deceive or impress,line.n.27,the act of persuading (or attempting to persuade); communication intended to induce belief or action,persuasion.n.01,Hypernyms
someone to whom private matters are confided,confidant.n.01,a person you know well and regard with affection and trust,friend.n.01,Hypernyms
someone to whom private matters are confided,confidant.n.01,a female confidant,confidante.n.01,Hyponyms
someone to whom private matters are confided,confidant.n.01,a person to whom a secret is entrusted,repository.n.02,Hyponyms
a faithful depiction or reflection,mirror.n.02,a representation by picture or portraiture,depicting.n.01,Hypernyms
a genus of Anatidae,genus_coscoroba.n.01,a genus of birds,bird_genus.n.01,Hypernyms
genus of large crested guans (the piping guans),pipile.n.01,a genus of birds,bird_genus.n.01,Hypernyms
purging the body by the use of a cathartic to stimulate evacuation of the bowels,catharsis.n.02,an act of removing by cleansing; ridding of sediment or other undesired elements,purge.n.02,Hypernyms
praise excessively,overpraise.v.01,do something to an excessive degree,overdo.v.01,Hypernyms
fix firmly and stably,anchor.v.01,cause to be firmly attached,fasten.v.01,Hypernyms
unusual largeness in size or extent or number,enormousness.n.01,the property of having a relatively great size,largeness.n.03,Hypernyms
unusual largeness in size or extent or number,enormousness.n.01,vastness of size or extent,enormity.n.02,Hyponyms
citing as evidence or proof,adducing.n.01,a fact or assertion offered as evidence that something is true,argument.n.01,Hypernyms
bicycles coming and going,bicycle_traffic.n.01,the aggregation of vehicles coming and going in a particular locality,vehicular_traffic.n.01,Hypernyms
the job of clerk,clerkship.n.01,a job in an organization,position.n.06,Hypernyms
seed shrimps,ostracoda.n.01,(biology) a taxonomic group containing one or more orders,class.n.07,Hypernyms
an advocate of internationalism,internationalist.n.01,a person who pleads for a cause or propounds an idea,advocate.n.01,Hypernyms
cover with ashes so to control the rate of burning,bank.v.07,provide with a covering or cause to be covered,cover.v.01,Hypernyms
cause to become,render.v.01,give certain properties to something,make.v.02,Hypernyms
excessive or affected modesty,primness.n.01,freedom from vanity or conceit,modesty.n.01,Hypernyms
the policy of pushing a dangerous situation to the brink of disaster (to the limits of safety),brinkmanship.n.01,a policy governing international relations,foreign_policy.n.01,Hypernyms
a nut with a hexagonal shape,hex_nut.n.01,a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt,nut.n.03,Hypernyms
small Old World falcon formerly trained and flown at small birds,hobby.n.03,diurnal birds of prey having long pointed powerful wings adapted for swift flight,falcon.n.01,Hypernyms
a butcher's knife having a large square blade,cleaver.n.01,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle,knife.n.01,Hypernyms
a temporary arrangement erected around a building for convenience of workers,scaffold.n.02,an orderly grouping (of things or persons) considered as a unit; the result of arranging,arrangement.n.02,Hypernyms
an intellectual who synthesizes or uses synthetic methods,synthesist.n.01,a person who uses the mind creatively,intellectual.n.01,Hypernyms
the quality of being deceitful and underhanded,crookedness.n.03,the quality of being dishonest,dishonesty.n.01,Hypernyms
the trait of believing in the honesty and reliability of others,trust.n.03,a distinguishing feature of your personal nature,trait.n.01,Hypernyms
the trait of believing in the honesty and reliability of others,trust.n.03,tendency to believe readily,credulity.n.01,Hyponyms
the state of freedom from fear or danger,secureness.n.01,the state of being free from danger or injury,security.n.01,Hypernyms
introduce into an environment,sow.v.02,cause to become widely known,circulate.v.02,Hypernyms
abstaining from sexual relations (as because of religious vows),chastity.n.01,act or practice of refraining from indulging an appetite,abstinence.n.02,Hypernyms
a recording barometer; automatically records on paper the variations in atmospheric pressure,barograph.n.01,an instrument that measures atmospheric pressure,barometer.n.01,Hypernyms
prepare for battle or conflict,embattle.v.02,arrange by systematic planning and united effort,organize.v.05,Hypernyms
psychosurgery in which amygdaloid fibers that mediate limbic system activity are severed (in cases of extreme uncontrollable violence),amygdalotomy.n.01,brain surgery on human patients intended to relieve severe and otherwise intractable mental or behavioral problems,psychosurgery.n.01,Hypernyms
a woman manager,manageress.n.01,someone who controls resources and expenditures,director.n.01,Hypernyms
pocket-sized paperback book,pocketbook.n.03,a book with paper covers,paperback_book.n.01,Hypernyms
clams,myaceae.n.01,the order of animals,animal_order.n.01,Hypernyms
the aggregate of past events,history.n.01,the time that has elapsed,past.n.01,Hypernyms
give new life or vigor to,revitalize.v.02,"reestablish on a new, usually improved, basis or make new or like new",regenerate.v.01,Hypernyms
fragrant oval yellowish tropical fruit used in jellies and confections,rose_apple.n.02,edible reproductive body of a seed plant especially one having sweet flesh,edible_fruit.n.01,Hypernyms
the native religion and former ethnic cult of Japan,shinto.n.01,an institution to express belief in a divine power,religion.n.02,Hypernyms
the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down,wrestling.n.02,a sport that necessarily involves body contact between opposing players,contact_sport.n.01,Hypernyms
the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down,wrestling.n.02,a wrestling maneuver,flying_mare.n.01,Hyponyms
the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down,wrestling.n.02,a style of wrestling where the wrestlers are forbidden to tackle or trip or use holds below the waist,greco-roman_wrestling.n.01,Hyponyms
the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down,wrestling.n.02,wrestling for money,professional_wrestling.n.01,Hyponyms
the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down,wrestling.n.02,a Japanese form of wrestling; you lose if you are forced out of a small ring or if any part of your body (other than your feet) touches the ground,sumo.n.01,Hyponyms
level space where heavy guns can be mounted behind the parapet at the top of a rampart,terreplein.n.01,an area reserved for some particular purpose,space.n.03,Hypernyms
(genetics) a character inherited on an all-or-none basis and dependent on the presence of a single gene,unit_character.n.01,(genetics) an attribute (structural or functional) that is determined by a gene or group of genes,character.n.09,Hypernyms
a small refracting telescope,field_glass.n.01,optical telescope that has a large convex lens that produces an image that is viewed through the eyepiece,refracting_telescope.n.01,Hypernyms
a database of information about words,lexical_database.n.01,(computer science) a database that can be accessed by computers,electronic_database.n.01,Hypernyms
a database of information about words,lexical_database.n.01,a machine-readable version of a standard dictionary; organized alphabetically,machine_readable_dictionary.n.01,Hyponyms
a database of information about words,lexical_database.n.01,any of the machine-readable lexical databases modeled after the Princeton WordNet,wordnet.n.01,Hyponyms
aim at,level.v.01,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards",aim.v.01,Hypernyms
a fistfight,punch-up.n.01,a fight with bare fists,fistfight.n.01,Hypernyms
call upon in supplication; entreat,beg.v.01,appeal or request earnestly,plead.v.01,Hypernyms
call upon in supplication; entreat,beg.v.01,plead or ask for earnestly,crave.v.02,Hyponyms
call upon in supplication; entreat,beg.v.01,beg persistently and urgently,importune.v.01,Hyponyms
call upon in supplication; entreat,beg.v.01,ask humbly (for something),supplicate.v.01,Hyponyms
plaster with mud,mud.v.02,coat with plaster,plaster.v.05,Hypernyms
a dish or meal given prominence in e.g. a restaurant,special.n.02,a particular item of prepared food,dish.n.02,Hypernyms
shrubby or herbaceous low-growing evergreen perennials,armeria.n.01,genus of flowering plants having two cotyledons (embryonic leaves) in the seed which usually appear at germination,dicot_genus.n.01,Hypernyms
a small wooded hollow,dell.n.01,a small valley between mountains,hollow.n.02,Hypernyms
use wrongly or improperly or excessively,abuse.v.04,"use up, consume fully",use.v.03,Hypernyms
a solid missile discharged from a firearm,shot.n.02,a weapon that is forcibly thrown or projected at a targets but is not self-propelled,projectile.n.01,Hypernyms
a solid missile discharged from a firearm,shot.n.02,a small pellet fired from an air rifle or BB gun,bb.n.01,Hyponyms
a solid missile discharged from a firearm,shot.n.02,small lead shot for shotgun shells,bird_shot.n.01,Hyponyms
a solid missile discharged from a firearm,shot.n.02,a cluster of small projectiles fired together from a cannon to produce a hail of shot,grapeshot.n.01,Hyponyms
a solid missile discharged from a firearm,shot.n.02,a solid projectile that is shot by a musket,musket_ball.n.01,Hyponyms
a call of students' names in a classroom,attendance_check.n.01,calling out an official list of names,roll_call.n.01,Hypernyms
type genus of the Istiophoridae,istiophorus.n.01,any of various genus of fish,fish_genus.n.01,Hypernyms
cosmopolitan genus of trees and shrubs having odd-pinnate leaves and showy flowers; some species placed in genus Podalyria,sophora.n.01,a genus of dicotyledonous plants,rosid_dicot_genus.n.01,Hypernyms
a musical notation (over a note or chord or rest) that indicates it is to be prolonged by an unspecified amount,fermata.n.01,(music) notation used by musicians,musical_notation.n.01,Hypernyms
have or exploit a monopoly of,monopolize.v.02,"have or possess, either in a concrete or an abstract sense",have.v.01,Hypernyms
dry white table wine resembling Chablis but made from Chardonnay grapes,chardonnay.n.02,pale yellowish wine made from white grapes or red grapes with skins removed before fermentation,white_wine.n.01,Hypernyms
ring slowly,toll.v.01,"make (bells) ring, often for the purposes of musical edification",ring.v.03,Hypernyms
a criminal who illegally sets fire to property,arsonist.n.01,someone who has committed a crime or has been legally convicted of a crime,criminal.n.01,Hypernyms
a criminal who illegally sets fire to property,arsonist.n.01,someone who burns down a barn,barnburner.n.01,Hyponyms
indirect procedure or action,indirection.n.01,a particular course of action intended to achieve a result,procedure.n.01,Hypernyms
a subfamily of the family Centropomidae,latinae.n.01,(biology) a taxonomic category below a family,subfamily.n.01,Hypernyms
a wooden pin pushed or driven into a surface,peg.n.01,a small slender (often pointed) piece of wood or metal used to support or fasten or attach things,pin.n.09,Hypernyms
a wooden pin pushed or driven into a surface,peg.n.01,a short peg put into the ground to hold a golf ball off the ground,tee.n.03,Hyponyms
a wooden pin pushed or driven into a surface,peg.n.01,a peg driven into the ground to hold a rope supporting a tent,tent_peg.n.01,Hyponyms
a wooden pin pushed or driven into a surface,peg.n.01,a wooden peg that is used to fasten timbers in shipbuilding; water causes the peg to swell and hold the timbers fast,treenail.n.01,Hyponyms
a print made from a woodcut,woodcut.n.01,a print made from an engraving,engraving.n.01,Hypernyms
the underside of footwear or a golf club,sole.n.01,the lower side of anything,bottom.n.01,Hypernyms
the underside of footwear or a golf club,sole.n.01,shoe sole extending from the shank to the toe,half_sole.n.01,Hyponyms
the underside of footwear or a golf club,sole.n.01,the inner sole of a shoe or boot where the foot rests,insole.n.01,Hyponyms
the underside of footwear or a golf club,sole.n.01,the outer sole of a shoe or boot that is the bottom of the shoe and makes contact with the ground,outsole.n.01,Hyponyms
being expert or having knowledge of some technical subject,sophistication.n.03,skillfulness by virtue of possessing special knowledge,expertness.n.01,Hypernyms
the tendency for a visual object to be perceived as having the same brightness under widely different conditions of illumination,brightness_constancy.n.01,(psychology) the tendency for perceived objects to give rise to very similar perceptual experiences in spite of wide variations in the conditions of observation,constancy.n.02,Hypernyms
the author of a worshipful or idealizing biography,hagiographer.n.01,someone who writes an account of a person's life,biographer.n.01,Hypernyms
the property of being unacceptable to the mind,unpalatability.n.02,the quality of being disagreeable and unpleasant,disagreeableness.n.01,Hypernyms
the property of being unacceptable to the mind,unpalatability.n.02,the property of being extremely unacceptable to the mind,disgustingness.n.02,Hyponyms
an informal meal cooked and eaten outdoors,cookout.n.01,any informal meal eaten outside or on an excursion,picnic.n.03,Hypernyms
an informal meal cooked and eaten outdoors,cookout.n.01,a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit,barbecue.n.02,Hyponyms
an informal meal cooked and eaten outdoors,cookout.n.01,a gathering at which burgoo stew is served,burgoo.n.02,Hyponyms
an informal meal cooked and eaten outdoors,cookout.n.01,a cookout at the seashore where clams and fish and other foods are cooked--usually on heated stones covered with seaweed,clambake.n.01,Hyponyms
an informal meal cooked and eaten outdoors,cookout.n.01,a cookout where fried fish is the main course,fish_fry.n.01,Hyponyms
an informal meal cooked and eaten outdoors,cookout.n.01,a cookout where roasted frankfurters are the main course,wiener_roast.n.01,Hyponyms
a crystalline carboxylic acid; occurs in some fermentations of sugars,itaconic_acid.n.01,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt,acid.n.01,Hypernyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,a drug that is taken for nonmedicinal reasons (usually for mind-altering effects); drug abuse can lead to physical and mental damage and (with some substances) dependence and addiction,drug_of_abuse.n.01,Hypernyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,a product made from plant material,plant_product.n.01,Hypernyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,the tobacco used to form the core of a cigar,filler.n.05,Hyponyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,tobacco leaves that have been made into a cylinder,roll_of_tobacco.n.01,Hyponyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,a strong coarse tobacco that has been shredded,shag.n.01,Hyponyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,a blend of tobaccos to be smoked in a pipe,smoking_mixture.n.01,Hyponyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,finely powdered tobacco for sniffing up the nose,snuff.n.03,Hyponyms
leaves of the tobacco plant dried and prepared for smoking or ingestion,tobacco.n.01,a dark aromatic tobacco of eastern Europe that is used in cigarettes,turkish_tobacco.n.01,Hyponyms
workplace where clothes are washed and ironed,laundry.n.02,a place where work is done,workplace.n.01,Hypernyms
workplace where clothes are washed and ironed,laundry.n.02,a self-service laundry (service mark Laundromat) where coin-operated washing machines are available to individual customers,launderette.n.01,Hyponyms
workplace where clothes are washed and ironed,laundry.n.02,a building or outbuilding where laundry is done,washhouse.n.01,Hyponyms
"work a second job, usually after hours",moonlight.v.01,be employed,work.v.02,Hypernyms
"the basic unit of money in Iraq; equal to 1,000 fils",iraqi_dinar.n.01,monetary unit in Iraq,iraqi_monetary_unit.n.01,Hypernyms
a hunter who kills predatory wild animals in order to collect a bounty,bounty_hunter.n.02,someone who hunts game,hunter.n.01,Hypernyms
the flesh of a chicken used for food,chicken.n.01,flesh of chickens or turkeys or ducks or geese raised for food,poultry.n.02,Hypernyms
the flesh of a chicken used for food,chicken.n.01,flesh of a small young chicken not over 2 1/2 lb suitable for broiling,broiler.n.02,Hyponyms
the flesh of a chicken used for food,chicken.n.01,flesh of a castrated male chicken,capon.n.01,Hyponyms
the flesh of a chicken used for food,chicken.n.01,flesh of a medium-sized young chicken suitable for frying,fryer.n.01,Hyponyms
the flesh of a chicken used for food,chicken.n.01,flesh of an older chicken suitable for stewing,hen.n.03,Hyponyms
the flesh of a chicken used for food,chicken.n.01,flesh of a large young chicken over 3 1/2 lb suitable for roasting,roaster.n.03,Hyponyms
the flesh of a chicken used for food,chicken.n.01,flesh of a chicken (or game bird) split down the back and grilled (usually immediately after being killed),spatchcock.n.01,Hyponyms
corn having kernels with a hard outer layer enclosing the soft endosperm,flint_corn.n.01,corn grown primarily for animal feed or market grain,field_corn.n.01,Hypernyms
activity intended to produce rain,rainmaking.n.01,the act or process of producing something,production.n.01,Hypernyms
understate the importance or quality of,background.v.01,"to stress, single out as important",stress.v.01,Hypernyms
understate the importance or quality of,background.v.01,play down or obscure,soft-pedal.v.01,Hyponyms
understate the importance or quality of,background.v.01,dismiss as insignificant,wave_off.v.01,Hyponyms
17th century theology (named after its founder Jacobus Arminius) that opposes the absolute predestinarianism of John Calvin and holds that human free will is compatible with God's sovereignty,arminianism.n.01,the theological system of any of the churches of western Christendom that separated from the Roman Catholic Church during the Reformation,protestantism.n.01,Hypernyms
the act of going to see some person or place or thing for a short time,visit.n.01,the social act of assembling for some common purpose,meeting.n.04,Hypernyms
the act of going to see some person or place or thing for a short time,visit.n.01,a brief social visit,call.n.06,Hyponyms
the act of going to see some person or place or thing for a short time,visit.n.01,a visit in an official capacity to examine a site to determine its suitability for some enterprise,site_visit.n.01,Hyponyms
the act of going to see some person or place or thing for a short time,visit.n.01,an official visit for inspection or supervision,visitation.n.03,Hyponyms
the act of going to see some person or place or thing for a short time,visit.n.01,the activity of making visits,visiting.n.01,Hyponyms
the town (or city) where you grew up or where you have your principal residence,hometown.n.01,an urban area with a fixed boundary that is smaller than a city,town.n.01,Hypernyms
the quality of excelling; possessing good qualities in high degree,excellence.n.01,an essential and distinguishing attribute of something or someone; --Shakespeare,quality.n.01,Hypernyms
the quality of excelling; possessing good qualities in high degree,excellence.n.01,admirable excellence,admirability.n.01,Hyponyms
the quality of excelling; possessing good qualities in high degree,excellence.n.01,splendid or imposing in size or appearance,impressiveness.n.01,Hyponyms
the quality of excelling; possessing good qualities in high degree,excellence.n.01,the quality of excellence in thought and manners and taste,refinement.n.05,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,an artifact (or system of artifacts) that is instrumental in accomplishing some end,instrumentality.n.03,Hypernyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a flexible container with a single opening,bag.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container used for carrying money and small personal items or accessories (especially by women),bag.n.04,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container that is usually woven and has handles,basket.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container; usually has a lid,bin.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a small round container that is open at the top for holding tobacco,bowl.n.08,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a (usually rectangular) container; may have a lid,box.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a container used to keep bread or cake in,bread-bin.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a large container for storing fuel,bunker.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,airtight sealed metal container for food or drink or paint etc.,can.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,metal container for storing dry foods such as tea or flour,canister.n.02,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a small container,capsule.n.01,Hyponyms
any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another),container.n.01,a large container for freight,cargo_container.n.01,Hyponyms
